nombre,ficha,jornada,estado,nombreequipo
Jhon,2251848,1,1,Real Madrid
Camilo,2251848,1,1,Real Madrid
David,2251848,1,1,Real Madrid
Majo,2251848,1,1,Real Madrid
Mariana,2251848,1,1,Barcelona
Sebas,2251848,1,1,Barcelona
Mariana,2251848,1,1,Barcelona
Sebas,2251848,1,1,Barcelona
Mariana,2251848,1,1,Manchester City
Sebas,2251848,1,1,Manchester City
Mariana,2251848,1,1,Manchester City
Sebas,2251848,1,1,Manchester City
Mariana,2251848,1,1,Manchester United
Sebas,2251848,1,1,Manchester United
Mariana,2251848,1,1,Manchester United
Sebas,2251848,1,1,Manchester United
Jhon,2251848,1,1,Arsenal
Camilo,2251848,1,1,Arsenal
David,2251848,1,1,Arsenal
Majo,2251848,1,1,Arsenal
Mariana,2251848,1,1,Chelsea
Sebas,2251848,1,1,Chelsea
Mariana,2251848,1,1,Chelsea
Sebas,2251848,1,1,Chelsea
Mariana,2251848,1,1,Liverpool
Sebas,2251848,1,1,Liverpool
Mariana,2251848,1,1,Liverpool
Sebas,2251848,1,1,Liverpool
Mariana,2251848,1,1,Paris Saint-Germain
Sebas,2251848,1,1,Paris Saint-Germain
Mariana,2251848,1,1,Paris Saint-Germain
Sebas,2251848,1,1,Paris Saint-Germain
